VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1670628448274	2.13623e-06	2.58908e-06	2.26902	0.904083	0	0	0.427356	
Drone4	1670628448274	9.76562e-06	9.76562e-06	17.2065	0.904083	0	0	0.427356	
Drone3	1670628448325	9.76562e-06	9.76562e-06	21.2485	0.904083	0	0	0.427356	
Drone2	1670628448325	4.88281e-06	9.76562e-06	11.7799	0.904083	0	0	0.427356	
Drone1	1670628448325	2.13623e-06	2.58908e-06	2.2555	0.904083	0	0	0.427356	
Drone4	1670628448325	9.76562e-06	9.76562e-06	17.1929	0.904083	0	0	0.427356	
Drone3	1670628448376	9.76562e-06	9.76562e-06	21.2447	0.904083	0	0	0.427356	
Drone2	1670628448376	4.88281e-06	9.76562e-06	11.776	0.904083	0	0	0.427356	
Drone1	1670628448376	2.13623e-06	2.58908e-06	2.25162	0.904083	0	0	0.427356	
Drone4	1670628448376	9.76562e-06	9.76562e-06	17.189	0.904083	0	0	0.427356	
Drone3	1670628448427	9.76562e-06	9.76562e-06	21.2446	0.904083	0	0	0.427356	
Drone2	1670628448427	4.88281e-06	9.76562e-06	11.7759	0.904083	0	0	0.427356	
Drone1	1670628448427	2.13623e-06	2.58908e-06	2.25159	0.904083	0	0	0.427356	
Drone4	1670628448427	9.76562e-06	9.76562e-06	17.189	0.904083	0	0	0.427356	
Drone3	1670628448478	9.76555e-06	9.76555e-06	21.2418	0.904083	-1.19856e-08	3.22662e-08	0.427356	
Drone2	1670628448478	4.88275e-06	9.76555e-06	11.7731	0.904083	-1.30303e-08	2.75659e-08	0.427356	
Drone1	1670628448478	2.1362e-06	2.58904e-06	2.24878	0.904083	-5.617e-09	1.18829e-08	0.427356	
Drone4	1670628448478	9.76555e-06	9.76555e-06	17.1862	0.904083	-1.28311e-08	3.31211e-08	0.427356	
Drone3	1670628448529	9.76381e-06	9.7638e-06	21.2226	0.904083	-1.71967e-08	5.07613e-08	0.427356	
Drone2	1670628448529	4.88135e-06	9.76384e-06	11.7539	0.904083	-2.12705e-08	4.49982e-08	0.427356	
Drone1	1670628448529	2.13562e-06	2.58833e-06	2.22964	0.904083	-8.06909e-09	1.70704e-08	0.427356	
Drone4	1670628448529	9.76377e-06	9.76372e-06	17.167	0.904083	-1.78539e-08	5.33656e-08	0.427356	
Drone3	1670628448580	9.7588e-06	9.75888e-06	21.1859	0.904083	-2.17292e-08	6.51125e-08	0.427356	
Drone2	1670628448580	4.87727e-06	9.75887e-06	11.7174	0.904083	-2.74577e-08	5.80875e-08	0.427356	
Drone1	1670628448580	2.13401e-06	2.58637e-06	2.19314	0.904083	-1.04927e-08	2.21975e-08	0.427356	
Drone4	1670628448580	9.75855e-06	9.75856e-06	17.1304	0.904083	-2.36983e-08	6.89047e-08	0.427356	
Drone3	1670628448631	9.74964e-06	9.75e-06	21.132	0.904083	-2.06732e-08	6.76411e-08	0.427356	
Drone2	1670628448631	4.8698e-06	9.74979e-06	11.6635	0.904083	-2.86838e-08	6.06812e-08	0.427356	
Drone1	1670628448631	2.13109e-06	2.58282e-06	2.13943	0.904083	-1.29162e-08	2.73247e-08	0.427356	
Drone4	1670628448631	9.74897e-06	9.74916e-06	17.0765	0.904083	-2.49237e-08	7.46721e-08	0.427356	
Drone3	1670628448682	9.73605e-06	9.73708e-06	21.061	0.904083	-1.95601e-08	7.00491e-08	0.427356	
Drone2	1670628448682	4.85873e-06	9.73631e-06	11.5927	0.904083	-2.96532e-08	6.2732e-08	0.427356	
Drone1	1670628448682	2.12656e-06	2.5773e-06	2.06877	0.904083	-1.41423e-08	2.99184e-08	0.427356	
Drone4	1670628448682	9.73459e-06	9.73515e-06	17.0055	0.904083	-2.65091e-08	7.58783e-08	0.427356	
Drone3	1670628448733	9.71786e-06	9.72013e-06	20.9733	0.904083	-2.04768e-08	6.80661e-08	0.427356	
Drone2	1670628448733	4.84394e-06	9.7183e-06	11.5052	0.904083	-3.06226e-08	6.47828e-08	0.427356	
Drone1	1670628448733	2.12028e-06	2.56965e-06	1.98147	0.904083	-1.31729e-08	2.78675e-08	0.427356	
Drone4	1670628448733	9.7154e-06	9.7164e-06	16.9179	0.904083	-2.78795e-08	7.08396e-08	0.427356	
Drone3	1670628448785	9.69523e-06	9.6992e-06	20.8693	0.904083	-2.23318e-08	6.40529e-08	0.427356	
Drone2	1670628448785	4.82538e-06	9.6957e-06	11.4014	0.904083	-2.9311e-08	6.20081e-08	0.427356	
Drone1	1670628448785	2.11235e-06	2.56001e-06	1.8779	0.904083	-1.22034e-08	2.58167e-08	0.427356	
Drone4	1670628448785	9.69181e-06	9.69301e-06	16.814	0.904083	-2.92499e-08	6.58009e-08	0.427356	
Drone3	1670628448836	9.66858e-06	9.67433e-06	20.7494	0.904083	-2.41869e-08	6.00397e-08	0.427356	
Drone2	1670628448836	4.8032e-06	9.66871e-06	11.2818	0.904083	-2.68874e-08	5.6881e-08	0.427356	
Drone1	1670628448836	2.10292e-06	2.54853e-06	1.75851	0.904083	-1.1234e-08	2.37658e-08	0.427356	
Drone4	1670628448836	9.66431e-06	9.66509e-06	16.6942	0.904083	-3.06202e-08	6.07621e-08	0.427356	
Drone3	1670628448887	9.63831e-06	9.64558e-06	20.6141	0.904083	-2.6042e-08	5.60265e-08	0.427356	
Drone2	1670628448887	4.77774e-06	9.63771e-06	11.1468	0.904083	-2.44639e-08	5.17538e-08	0.427356	
Drone1	1670628448887	2.09213e-06	2.53538e-06	1.62379	0.904083	-1.02646e-08	2.17149e-08	0.427356	
Drone4	1670628448887	9.63337e-06	9.63278e-06	16.5591	0.904083	-3.19905e-08	5.57235e-08	0.427356	
Drone3	1670628448938	9.60483e-06	9.61299e-06	20.4639	0.904083	-2.7897e-08	5.20132e-08	0.427356	
Drone2	1670628448938	4.74933e-06	9.60312e-06	10.9969	0.904083	-2.20403e-08	4.66267e-08	0.427356	
Drone1	1670628448938	2.08009e-06	2.52073e-06	1.47428	0.904083	-9.29512e-09	1.9664e-08	0.427356	
Drone4	1670628448938	9.59942e-06	9.59624e-06	16.4091	0.904083	-2.82864e-08	5.19027e-08	0.427356	
Drone3	1670628448989	9.56854e-06	9.57664e-06	20.2996	0.904083	-2.97521e-08	4.79999e-08	0.427356	
Drone2	1670628448989	4.7183e-06	9.56535e-06	10.8329	0.904083	-1.96167e-08	4.14995e-08	0.427356	
Drone1	1670628448989	2.06695e-06	2.50474e-06	1.31056	0.904083	-8.32568e-09	1.76132e-08	0.427356	
Drone4	1670628448989	9.5627e-06	9.55587e-06	16.2448	0.904083	-2.18116e-08	4.93179e-08	0.427356	
Drone3	1670628449040	9.52982e-06	9.53656e-06	20.1215	0.904083	-3.16072e-08	4.39867e-08	0.427356	
Drone2	1670628449040	4.68498e-06	9.52478e-06	10.6552	0.904083	-1.73357e-08	3.6674e-08	0.427356	
Drone1	1670628449040	2.05284e-06	2.48756e-06	1.13323	0.904083	-7.35625e-09	1.55623e-08	0.427356	
Drone4	1670628449040	9.52322e-06	9.51227e-06	16.0669	0.904083	-1.66455e-08	4.70738e-08	0.427356	
Drone3	1670628449091	9.48906e-06	9.49286e-06	19.9305	0.904083	-2.8017e-08	4.04072e-08	0.427356	
Drone2	1670628449091	4.64961e-06	9.48173e-06	10.4645	0.904083	-1.81625e-08	3.84232e-08	0.427356	
Drone1	1670628449091	2.03788e-06	2.46934e-06	0.942916	0.904083	-6.38682e-09	1.35114e-08	0.427356	
Drone4	1670628449091	9.48102e-06	9.46589e-06	15.876	0.904083	-1.78723e-08	4.64939e-08	0.427356	
Drone3	1670628449142	9.44642e-06	9.4459e-06	19.727	0.904083	-2.03155e-08	3.84023e-08	0.427356	
Drone2	1670628449142	4.61221e-06	9.43619e-06	10.2615	0.904083	-1.9132e-08	4.04741e-08	0.427356	
Drone1	1670628449142	2.0222e-06	2.45025e-06	0.740264	0.904083	-5.41738e-09	1.14606e-08	0.427356	
Drone4	1670628449142	9.43621e-06	9.41679e-06	15.6728	0.904083	-1.9099e-08	4.59141e-08	0.427356	
Drone3	1670628449193	9.40185e-06	9.39631e-06	19.5119	0.904083	-1.52315e-08	3.70787e-08	0.427356	
Drone2	1670628449193	4.5727e-06	9.38809e-06	10.0467	0.904083	-2.01014e-08	4.2525e-08	0.427356	
Drone1	1670628449193	2.00591e-06	2.43042e-06	0.525919	0.904083	-4.44795e-09	9.40972e-09	0.427356	
Drone4	1670628449193	9.38891e-06	9.36494e-06	15.4578	0.904083	-2.03257e-08	4.53342e-08	0.427356	
Drone3	1670628449244	9.35531e-06	9.34453e-06	19.2857	0.904083	-1.26643e-08	3.64104e-08	0.427356	
Drone2	1670628449244	4.53102e-06	9.33734e-06	9.82093	0.904083	-2.10708e-08	4.45758e-08	0.427356	
Drone1	1670628449244	1.98913e-06	2.40999e-06	0.300531	0.904083	-3.47852e-09	7.35886e-09	0.427356	
Drone4	1670628449244	9.33925e-06	9.31034e-06	15.2318	0.904083	-2.15525e-08	4.47543e-08	0.427356	
Drone3	1670628449295	9.30679e-06	9.29079e-06	19.0491	0.904083	-1.00971e-08	3.5742e-08	0.427356	
Drone2	1670628449295	4.48709e-06	9.28387e-06	9.58473	0.904083	-2.20402e-08	4.66267e-08	0.427356	
Drone1	1670628449295	1.97197e-06	2.3891e-06	0.0647421	0.904083	-2.50908e-09	5.308e-09	0.427356	
Drone4	1670628449295	9.28733e-06	9.25296e-06	14.9953	0.904083	-2.27792e-08	4.41745e-08	0.427356	
Drone3	1670628449346	9.25631e-06	9.23533e-06	18.8027	0.904083	-7.52997e-09	3.50737e-08	0.427356	
Drone2	1670628449346	4.44088e-06	9.22761e-06	9.33875	0.904083	-2.07001e-08	4.37917e-08	0.427356	
Drone1	1670628449346	1.95454e-06	2.36789e-06	-0.180813	0.904083	-1.53965e-09	3.25714e-09	0.427356	
Drone4	1670628449346	9.23328e-06	9.19281e-06	14.7491	0.904083	-2.40059e-08	4.35946e-08	0.427356	
Drone3	1670628449397	9.20384e-06	9.17834e-06	18.5471	0.904083	-4.96279e-09	3.44053e-08	0.427356	
Drone2	1670628449397	4.39253e-06	9.16874e-06	9.08362	0.904083	-1.87613e-08	3.969e-08	0.427356	
Drone1	1670628449397	1.93695e-06	2.34647e-06	-0.435517	0.904083	-9.69394e-10	2.05075e-09	0.427356	
Drone4	1670628449397	9.1772e-06	9.12987e-06	14.4937	0.904083	-2.26152e-08	4.23333e-08	0.427356	
Drone3	1670628449448	9.14941e-06	9.12004e-06	18.283	0.904083	-2.39561e-09	3.3737e-08	0.427356	
Drone2	1670628449448	4.34227e-06	9.10755e-06	8.81995	0.904083	-1.68224e-08	3.55882e-08	0.427356	
Drone1	1670628449448	1.91923e-06	2.32489e-06	-0.698767	0.904083	-3.39297e-09	7.17788e-09	0.427356	
Drone4	1670628449448	9.11917e-06	9.0643e-06	14.2298	0.904083	-1.87075e-08	4.04167e-08	0.427356	
Drone3	1670628449499	9.093e-06	9.06061e-06	18.0109	0.904083	1.71573e-10	3.30687e-08	0.427356	
Drone2	1670628449499	4.29032e-06	9.04431e-06	8.5483	0.904083	-1.48835e-08	3.14865e-08	0.427356	
Drone1	1670628449499	1.90118e-06	2.30292e-06	-0.969986	0.904083	-5.81655e-09	1.2305e-08	0.427356	
Drone4	1670628449499	9.05923e-06	8.99642e-06	13.9579	0.904083	-1.47999e-08	3.85002e-08	0.427356	
Drone3	1670628449550	9.03463e-06	9.00023e-06	17.7315	0.904083	-1.08685e-09	3.33963e-08	0.427356	
